n   , k    , m   , CPU Comp Time, GPU Comp Time
1024, 10240,  512,        168.15,         26.45
   2,  2048,    2,          0.0 ,          1.05
  16, 16384,   16,          0.9 ,          3.05
  64, 28672,   64,          9.45,          7.65
   4, 10240,    4,          0.15,          1.95
 512,  1024,  512,         10.75,          3.45
   8,  4096,    8,          0.0 ,          1.5
   8,  8192,    8,          0.15,          1.75
 512,  8192,  512,         74.2 ,         20.0
  32,  1024,   16,          0.1 ,          0.7
1024,  9216, 1024,        306.0 ,         58.4
 256, 16384,  256,         44.15,         13.95
   1, 28672,    1,          0.4 ,          4.35
   1, 10240,    1,          0.3 ,          1.95
1024, 20480, 1024,        694.65,        118.75
   2,   768,    2,          0.05,          0.9
 256,   128,  256,          0.45,          1.4
  16, 10240,   16,          0.55,          2.7
  64, 36864,   64,         13.2 ,         11.6
 256,  1024,  512,          6.7 ,          3.2
  32, 36864,   32,          4.4 ,         10.0
 256, 28672,  256,         68.5 ,         26.3
   2, 10240,    2,          0.3 ,          2.05
 256,    80,  256,          0.25,          1.1
 128, 36864,  128,         28.2 ,         28.05
  64,    80,   64,          0.05,          0.75
 256,  4096,  256,          9.45,          4.65
 128,  7168,  128,          7.45,          7.25
 256,  9216,  256,         23.7 ,          8.4
   8, 11008,    8,          0.2 ,          3.05
 256,   512,  256,          1.75,          1.35
1024,  1024, 1536,         51.0 ,         11.4
  64,  8192,   64,          2.35,          3.6
 128,  1024,  128,          1.3 ,          1.85
 128,  8192,  128,         10.4 ,          8.2
   4,   128,    4,          0.05,          0.8
  16,  1024,   16,          0.05,          0.9
 128, 13824,  128,         19.7 ,         12.45
1024,  1024, 1024,         35.85,          8.7
  32,  8192,   32,          0.75,          3.15
 128,    64,  128,          0.05,          0.9
   1,  8192,    1,          0.25,          2.7
 128, 20480,  128,         27.8 ,         18.7
   1,   128,    1,          0.05,          0.85
2048,  2048, 1024,        127.55,         30.25
   4,  4096,    4,          0.1 ,          1.65
   2,  7168,    2,          0.2 ,          2.3
 512,  1024,  256,          6.2 ,          2.95
 128,  4096,  128,          3.65,          4.35
   8,  9216,    8,          0.1 ,          2.5
  32, 20480,   32,          2.55,          6.1
   4,  9216,    4,          0.1 ,          2.15
 128,  9216,  128,         10.45,          7.85
2048,  1024, 1024,         71.4 ,         21.3
   2,  1024,    2,          0.0 ,          0.8
   1,  4096,    1,          0.05,          1.5
   4, 13824,    4,          0.15,          3.45
   4,   768,    4,          0.0 ,          0.85
 256,  2048,  256,          6.55,          3.25
   2,   128,    2,          0.0 ,          0.4
   1,  9216,    1,          0.05,          2.2
 128, 28672,  128,         30.15,         21.25
1024,  4096, 1024,        123.7 ,         31.35
 256,   512,  512,          3.05,          2.2
  64,  7168,   64,          2.25,          3.35
1024,  5120, 1024,        173.35,         43.4
1024, 10240, 1024,        352.95,         69.75
 256,  3072,  256,          7.5 ,          4.1
 512, 13824,  512,        121.3 ,         34.6
1024, 28672, 1024,       1010.05,        177.25
 512,  4096,  256,         21.2 ,          6.65
1024,  2048, 2048,        131.45,         32.7
   8,  5120,    8,          0.1 ,          1.9
 768,  1024, 1024,         25.9 ,          6.65
 256, 11008,  256,         25.7 ,          9.7
   4,  8192,    4,          0.0 ,          2.65
 512, 36864,  512,        330.75,         76.85
  32,  2048,   32,          0.15,          1.0
   8,    80,    8,          0.05,          0.45
   4,  2048,    4,          0.05,          1.2
  16,  8192,   16,          0.3 ,          2.25
1536,  1024, 2048,        100.1 ,         27.1
1024,  1024,  512,         18.55,          5.55
   2,    80,    2,          0.05,          0.5
 512, 16384,  512,        145.75,         39.6
1024,  8192, 1024,        290.55,         64.8
  32,  1024,   32,          0.0 ,          1.15
   2,  3072,    2,          0.0 ,          1.5
   1,  7168,    1,          0.15,          1.95
 128, 11008,  128,         10.1 ,          9.4
1024,  2560,  512,         41.4 ,         11.35
 128, 10240,  128,         10.65,          9.3
   2, 16384,    2,          0.15,          4.1
 256,  2560,  256,          8.3 ,          3.55
1024,  4096,  768,         95.45,         26.15
2048,  1024,  512,         33.35,          9.2
   4,  2560,    4,          0.05,          1.4
1536,  2048, 1024,         99.3 ,         24.95
1024,    64, 1024,          3.45,          2.95
1024,   768, 1024,         25.4 ,          7.25
  16, 28672,   16,          1.3 ,          8.05
 512,  4096,  512,         37.6 ,         10.1
   1, 13824,    1,          0.3 ,          3.65
   1,  5120,    1,          0.05,          1.85
 512,   512,  512,          6.0 ,          3.1
 512,  3072,  256,         13.9 ,          5.85
 256, 13824,  256,         38.1 ,         12.05
1024,  5120,  512,         83.3 ,         24.5
  64,   128,   64,          0.05,          0.95
 512,  2048,  512,         17.9 ,          5.9
 256, 10240,  256,         24.5 ,          9.1
   4,  5120,    4,          0.05,          1.8
  16,  2560,   16,          0.05,          1.35
   8, 20480,    8,          0.5 ,          5.55
   1,    64,    1,          0.0 ,          0.35
   2, 20480,    2,          0.35,          4.6
 128,   128,  128,          0.15,          0.75
 256, 36864,  256,         85.3 ,         32.75
 256,   768,  256,          2.25,          1.55
1024,  1024,  768,         25.3 ,          6.9
   2,  9216,    2,          0.15,          2.0
  16,  9216,   16,          0.3 ,          2.5
2048,  2048,  768,         98.9 ,         26.4
 128, 16384,  128,         21.65,         14.75
  64,  1024,   64,          0.35,          1.15
   8, 16384,    8,          0.4 ,          3.95
  32, 16384,   32,          2.1 ,          5.4
2048,  1024,  768,         54.6 ,         12.5
  64, 13824,   64,          3.65,          5.65
1536,  1024, 1024,         51.65,         12.1
   4, 11008,    4,          0.2 ,          2.75
   2,  2560,    2,          0.05,          0.9
 256,  5120,  256,         12.8 ,          5.25
 512, 11008,  512,         96.7 ,         27.95
   8, 10240,    8,          0.1 ,          2.9
  32,    80,   32,          0.0 ,          0.65
1024, 13824, 1024,        486.55,         89.75
  32, 10240,   32,          1.1 ,          3.45
  64,  4096,   64,          1.15,          2.0
   8,  2048,    8,          0.05,          1.3
 128,  2048,  128,          1.85,          2.65
 512,  2048, 2048,         67.1 ,         21.8
 128,   768,  128,          0.7 ,          1.7
1024,   128, 1024,          5.65,          3.05
  32,  7168,   32,          0.7 ,          2.3
   8, 28672,    8,          0.8 ,          7.4
 512,  9216,  512,         79.45,         26.6
 512,  3072,  512,         25.7 ,          7.7
  16,   768,   16,          0.1 ,          0.9
 512,   512,  256,          2.6 ,          1.95
 256,  8192,  256,         18.75,          7.25
  64, 16384,   64,          5.45,          6.8
   8,  1024,    8,          0.05,          1.05
  64,  1024,   16,          0.05,          1.15
 512, 10240,  512,         90.45,         29.1
  16,  5120,   16,          0.3 ,          1.75
  32,  3072,   32,          0.25,          1.65
   4,    80,    4,          0.0 ,          0.45
  16,   128,   16,          0.0 ,          0.55
1024,  2560, 1024,         84.7 ,         24.7
 512, 20480,  512,        182.15,         47.35
   1,  3072,    1,          0.1 ,          1.3
  16,  7168,   16,          0.2 ,          2.25
  64,  2048,   64,          0.55,          1.4
2048,  2048,  512,         66.85,         20.3
   1,    80,    1,          0.0 ,          0.7
 512,   128,  512,          1.9 ,          1.95
 512,   768,  256,          4.1 ,          2.4
   4, 16384,    4,          0.25,          3.7
   2, 11008,    2,          0.25,          2.55
  32,    64,   32,          0.0 ,          0.4
 128,  2560,  128,          2.15,          3.0
   2,    64,    2,          0.0 ,          0.65
   2,  5120,    2,          0.05,          1.8
 512,  1024, 2048,         35.35,          8.75
  64, 11008,   64,          3.35,          5.35
   1,  2048,    1,          0.05,          1.1
  32,  2560,   32,          0.25,          1.2
  32, 28672,   32,          4.2 ,          9.05
1536,  2048, 2048,        191.1 ,         42.8
  16, 36864,   16,          1.95,         10.7
   1, 11008,    1,          0.2 ,          3.15
   1,  1024,    1,          0.0 ,          0.5
  64,    64,   64,          0.05,          0.5
   4, 28672,    4,          0.15,          6.55
1024,  1024, 2048,         67.5 ,         21.85
  64, 20480,   64,          6.8 ,          7.4
  32,  9216,   32,          1.1 ,          3.75
1024, 16384, 1024,        574.8 ,        101.4
   8,   768,    8,          0.1 ,          0.5
  64,  9216,   64,          2.8 ,          3.75
 768,  2048, 2048,        100.35,         25.9
  32,   768,   32,          0.0 ,          1.0
 512,  2560,  512,         22.35,          7.15
2048,  2048, 2048,        256.15,         59.3
   1, 20480,    1,          0.3 ,          4.1
  16,    64,   16,          0.0 ,          0.4
  16,  3072,   16,          0.15,          1.45
1024,  2048, 1536,         95.05,         25.95
 512,  5120,  512,         42.5 ,         13.05
 512,  7168,  512,         61.15,         23.05
 128,    80,  128,          0.15,          0.95
 512,   768,  512,          8.65,          3.85
   1, 16384,    1,          0.15,          3.5
   8,  7168,    8,          0.05,          2.05
 128,  5120,  128,          5.2 ,          5.3
   2, 13824,    2,          0.3 ,          3.5
   8, 13824,    8,          0.15,          3.75
  32,  5120,   32,          0.5 ,          1.8
1024, 11008, 1024,        387.55,         71.3
   4,  1024,    4,          0.0 ,          0.85
   2, 36864,    2,          0.5 ,          8.05
   8, 36864,    8,          0.9 ,          8.3
  32,  4096,   32,          0.4 ,          1.75
   1,   768,    1,          0.0 ,          0.65
 768,  1024, 2048,         52.9 ,         12.25
 512,    80,  512,          0.95,          1.8
 256,  7168,  256,         16.4 ,          6.7
  64,   768,   64,          0.2 ,          1.0
  64,  3072,   64,          0.7 ,          1.7
   4, 20480,    4,          0.45,          4.75
 512,    64,  512,          1.1 ,          1.9
  16, 11008,   16,          0.4 ,          3.15
  32, 11008,   32,          1.15,          3.45
 512,  1024, 1024,         20.95,          6.25
   8,  2560,    8,          0.05,          1.2
  16, 13824,   16,          0.4 ,          3.7
   8,    64,    8,          0.0 ,          0.4
   8,  3072,    8,          0.05,          1.65
 128,  3072,  128,          3.15,          3.8
  64,  5120,   64,          2.15,          2.6
   2,  8192,    2,          0.55,          2.25
  64, 10240,   64,          2.75,          4.0
  16,  2048,   16,          0.0 ,          1.25
  16,    80,   16,          0.0 ,          0.4
   4,  7168,    4,          0.05,          2.25
  16,  4096,   16,          0.15,          1.7
2048,  2048, 1536,        192.45,         39.4
   2,  4096,    2,          0.05,          1.5
  32, 13824,   32,          1.65,          4.4
2048,  1024, 1536,         97.95,         26.3
 512, 28672,  512,        257.9 ,         58.85
 256,    64,  256,          0.2 ,          0.85
  32,   128,   32,          0.0 ,          0.5
   4, 36864,    4,          0.6 ,          6.1
   2, 28672,    2,          0.4 ,          5.65
 256,  1024,  256,          3.3 ,          2.45
1024,    80, 1024,          4.3 ,          3.2
   1, 36864,    1,          0.6 ,          6.4
   1,  2560,    1,          0.05,          1.25
  16, 20480,   16,          1.05,          5.2
2048,  1024, 2048,        129.6 ,         32.85
  64,  2560,   64,          0.65,          1.3
 256,   256,  256,          0.8 ,          1.55
1024,  2048, 1024,         66.85,         20.6
   4,    64,    4,          0.0 ,          0.45
   4,  3072,    4,          0.05,          1.35
   8,   128,    8,          0.0 ,          0.4
1024,  7168, 1024,        252.2 ,         48.2
 256, 20480,  256,         49.45,         21.55
    ,      ,     ,              ,           
